#,NUMERO,STATUS,ED,DESCRICAO,RÓTULOS,CARGA ATUAL,SETOR DO RESPONSÁVEL,CAMPUS DA CARGA,VALOR AQUISIÇÃO,VALOR DEPRECIADO,NUMERO NOTA FISCAL,NÚMERO DE SÉRIE,DATA DA ENTRADA,DATA DA CARGA,FORNECEDOR,SALA,ESTADO DE CONSERVAÇÃO
1,72900,Ativo,35,"MONITOR LCD 19\"" COLORIDO, MARCA AOC",-,Nome Servidor 6 (GR GR-AREA),GR-DEPEX,GR,194.33,19.43,-,,12/05/2008,12/05/2008,-,33 - Sala Container 02(Campus Gravataí),Ocioso
2,72901,Ativo,35,"MONITOR LCD 19\"" COLORIDO, MARCA AOC",-,Nome Servidor 6 (GR GR-AREA),GR-DEPEX,GR,194.33,19.43,-,,12/05/2008,12/05/2008,-,33 - Sala Container 02(Campus Gravataí),Ocioso
3,72902,Ativo,35,"MONITOR LCD 19\"" COLORIDO, MARCA AOC",-,Nome Servidor 6 (GR GR-AREA),GR-DEPEX,GR,194.33,19.43,-,,12/05/2008,12/05/2008,-,33 - Sala Container 02(Campus Gravataí),Ocioso
4,72904,Ativo,35,"MONITOR LCD 19\"" COLORIDO, MARCA AOC",-,Nome Servidor 6 (GR GR-AREA),GR-DEPEX,GR,194.33,19.43,-,,12/05/2008,12/05/2008,-,33 - Sala Container 02(Campus Gravataí),Ocioso
5,72909,Ativo,35,"MONITOR LCD 19\"" COLORIDO, MARCA AOC",-,Nome Servidor 6 (GR GR-AREA),GR-DEPEX,GR,194.33,19.43,-,,12/05/2008,12/05/2008,-,33 - Sala Container 02(Campus Gravataí),Ocioso
6,72911,Ativo,35,"MONITOR LCD 19\"" COLORIDO, MARCA AOC",-,Nome Servidor 6 (GR GR-AREA),GR-DEPEX,GR,194.33,19.43,-,,12/05/2008,12/05/2008,-,33 - Sala Container 02(Campus Gravataí),Ocioso
7,72915,Ativo,35,"MONITOR LCD 19\"" COLORIDO, MARCA AOC",-,Nome Servidor 6 (GR GR-AREA),GR-DEPEX,GR,194.33,19.43,-,,12/05/2008,12/05/2008,-,33 - Sala Container 02(Campus Gravataí),Ocioso
8,84379,Ativo,33,"RETROPROJETOR, SISTEMA DE REFRIGERACAO POR EXAUSTOR, CHAVE SELETORA, 2000ANSI LUMENS, AREA DE EXPOSICAO MINIMA 26,4 X 26,4CM, POTENCIA MINIMA DA     LAMPADA 300W. MARCA VISOGRAF CS300H. CABECA DE PROTECAO GIRATORIA 360       GRAUS                                                                       ",-,Nome Servidor 7 (GR GR-AREA),GR-DEAP,GR,539.00,54.00,-,,19/10/2009,19/10/2009,-,14 - Estoque - Prédio Multifuncional(Campus Gravataí),Bom
9,94306,Ativo,35,"NOTEBOOK TIPO VIII, OFFICE SMB 2007, MARCA DELL E4300",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,4515.00,451.50,-,,09/11/2010,09/11/2010,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
10,94308,Ativo,35,"NOTEBOOK TIPO VIII, OFFICE SMB 2007, MARCA DELL E4300",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,4515.00,451.50,-,,09/11/2010,09/11/2010,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
